id,location,time,user
 1 , Boxtel , 21:02:55 , Venicia 
 2 , Eindhoven , 21:03:06 , Venicia 
 3 , Esch , 21:03:43 , Venicia 
 4 , India , 21:03:59 , Venicia 
 5 , New York , 21:04:47 , Venicia 
 6 , Valkenswaard , 21:05:38 , Venicia 
 7 , Vinaros , 21:12:46 , JotiOp2Bxl 
 8 , ScoutingBoxtel !kaart Walibi Holland , 21:15:40 , JotiOp2Bxl 
 9 , Walibi Holland , 21:17:27 , JotiOp2Bxl 
 10 , Garda , 21:27:53 , JotiOp2Bxl 
 11 , Lollapalooza , 21:57:47 , Venicia 
 12 , Lollapalooza , 22:08:19 , Venicia 
 13 , Paris , 22:09:07 , Venicia 
 14 , Johannesburg , 22:30:05 , JotiOp2Bxl 
 15 , Den Haag , 06:31:13 , Venicia 
 15 , Test , 17:21:26 , joti90bxl 
